brand,model,aggregateRating/ratingValue,aggregateRating/reviewCount,offers/price,offers/priceCurrency,dimentions/depth,dimentions/width,dimentions: depth x width,features/0/description,features/1/description,upc,weight,URL
Samsung,NP750QFG-KA2US,4.8,477,690,USD,13.99,8.98,13.99 x 8.98,"From all night rabbit holes to hobbies to intensive DIY projects, explore your world at the speed of thought. This processor can keep up with your curiosity.","Explore your passions from just about anywhere with Galaxy Book3 360. Featuring a thin, lightweight design that’s made to move with you, this PC is always ready to help you pursue your interests.",7.52E+11,13.2 pounds,https://www.bestbuy.com/site/Samsung-NP750QFG-KA2US/
HP,14-es0033dx,4.7,1731,690,USD,8.3,12.68,8.3 x 12.68,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Your entertainment just got pushed to the very edge. Get expansive, Full High Definition, vibrant images with awesome colors, and intuitively control your PC right from the screen.",7.52E+11,13.2 pounds,https://www.bestbuy.com/site/HP-14-es0033dx/
HP,15-fh0023dx,4.7,1155,690,USD,8.99,14.07,8.99 x 14.07,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Get expansive, vibrant images and control your entertainment right from the screen.",7.52E+11,13.2 pounds,https://www.bestbuy.com/site/HP-15-fh0023dx/
Acer,PHN16-71-73LT,4.6,343,1180,USD,11.02,14.18,11.02 x 14.18,"Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the pristine WQXGA (2560 x 1600) IPS panel has a fast 165Hz refresh rate, NVIDIA G-SYNC technology, 3ms Overdrive response time, 500nit Brightness and is 100% sRGB.",7.52E+11,13.2 pounds,https://www.bestbuy.com/site/Acer-PHN16-71-73LT/
Lenovo,82H803SBUS,4.7,3275,799,USD,9.98,14.26,9.98 x 14.26,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,27108105321,1.6 lb 2.6 lb 1.6 lb 18.7 lb,https://www.bestbuy.com/site/Lenovo-82H803SBUS/
HP,15-fh0013dx,4.7,1923,799,USD,8.99,14.07,8.99 x 14.07,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Get expansive, vibrant images and control your entertainment right from the screen.",27108105321,1.6 lb 2.6 lb 1.6 lb 18.7 lb,https://www.bestbuy.com/site/HP-15-fh0013dx/
HP,17-cw0023dx,4.8,840,799,USD,10.18,15.59,10.18 x 15.59,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Always see your content at its best with 178-degree wide-viewing angles, FHD and a vibrant picture. And with touchscreen technology, you can control your PC right from the screen.",27108105321,1.6 lb 2.6 lb 1.6 lb 18.7 lb,https://www.bestbuy.com/site/HP-17-cw0023dx/
HP,14-es0013dx,4.7,1640,799,USD,8.3,12.68,8.3 x 12.68,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Your entertainment just got pushed to the very edge. Get expansive, Full High Definition, vibrant images with awesome colors, and intuitively control your PC right from the screen.",6.57E+11,1.1 pounds,https://www.bestbuy.com/site/HP-14-es0013dx/
HP,15-DY5033DX,4.7,1519,799,USD,9.53,14.11,9.53 x 14.11,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups.",6.57E+11,1.1 pounds,https://www.bestbuy.com/site/HP-15-DY5033DX/
HP,15-fc0093dx,4.6,1362,799,USD,9.29,14.17,9.29 x 14.17,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",2 million pixels for crystal-clear visuals and vibrant image quality.,6.57E+11,1.1 pounds,https://www.bestbuy.com/site/HP-15-fc0093dx/
Dell,i3420-S476SLV-PUS,4.3,106,799,USD,8.65,12.74,8.65 x 12.74,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Natural finger-touch navigation makes the most of Windows 11. The 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.,6.57E+11,1.1 pounds,https://www.bestbuy.com/site/Dell-i3420-S476SLV-PUS/
Microsoft,5UI-00027/5UI-00001,4.6,265,799,USD,9.6,13.4,9.6 x 13.4,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",6.57E+11,1.1 pounds,https://www.bestbuy.com/site/Microsoft-5UI-00027/5UI-00001/
HP,14-dq0054dx,4.1,4230,799,USD,8.86,12.76,8.86 x 12.76,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups.",17817664585,1.18 lb,https://www.bestbuy.com/site/HP-14-dq0054dx/
Microsoft,QIL-00001,4.8,517,1200,USD,8.2,11.3,8.2 x 11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.,8.87E+11,0.14 pounds,https://www.bestbuy.com/site/Microsoft-QIL-00001/
LG,17Z90R-A.AAB7U1,4.2,6,899,USD,0.7,14.91,0.7 x 14.91,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.",Expand the realm of what’s possible using a 17” screen with a 16:10 aspect ratio that can make your visions come to life with a non-reflective design to maintain your focus and a bold DCI-P3 99% color gamut to add a realistic touch to graphics.²,8.87E+11,0.14 pounds,https://www.bestbuy.com/site/LG-17Z90R-A.AAB7U1/
Dell,XPS9530-7718SLV-PUS,4.5,123,899,USD,9.06,13.57,9.06 x 13.57,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",1920 x 1200 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.,8.44E+11,3.2 pounds,https://www.bestbuy.com/site/Dell-XPS9530-7718SLV-PUS/
Lenovo,82YN0002US,4.8,1507,899,USD,9.85,14.26,9.85 x 14.26,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.44E+11,3.2 pounds,https://www.bestbuy.com/site/Lenovo-82YN0002US/
Lenovo,82VB0002US,4.8,1507,899,USD,14.05,9.74,14.05 x 9.74,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Natural finger-touch navigation makes the most of Windows 11. The 2560 x 1600 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.,8.44E+11,3.2 pounds,https://www.bestbuy.com/site/Lenovo-82VB0002US/
Lenovo,82YN004PUS,4.7,608,899,USD,9.85,14.26,9.85 x 14.26,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.44E+11,3.2 pounds,https://www.bestbuy.com/site/Lenovo-82YN004PUS/
HP,15-fe0013dx,4.7,771,899,USD,8.99,14.07,8.99 x 14.07,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Always see your content at its best with 178-degree wide-viewing angles, FHD and a vibrant picture. And with touchscreen technology, you can control your PC right from the screen.",8.44E+11,3.2 pounds,https://www.bestbuy.com/site/HP-15-fe0013dx/
LG,17Z90R-K.ADS9U1,4.5,14,899,USD,0.7,14.91,0.7 x 14.91,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.",A 17” screen with a 16:10 aspect ratio that can make your visions come to life with a non-reflective design to maintain your focus and a bold DCI-P3²  99% color gamut to add a realistic touch to graphics.,8.44E+11,3.2 pounds,https://www.bestbuy.com/site/LG-17Z90R-K.ADS9U1/
Microsoft,QIL-00052,4.8,517,1200,USD,8.2,11.3,8.2 x 11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.,8.44E+11,3.2 pounds,https://www.bestbuy.com/site/Microsoft-QIL-00052/
Microsoft,QIL-00018,4.8,517,999,USD,8.2,11.3,8.2 x 11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.,8.18E+23,6.7 pounds,https://www.bestbuy.com/site/Microsoft-QIL-00018/
HP,14-dq0055dx,4.1,4231,999,USD,8.86,12.76,8.86 x 12.76,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups.",8.18E+23,6.7 pounds,https://www.bestbuy.com/site/HP-14-dq0055dx/
Lenovo,82Y30004US,4.6,124,999,USD,10.21,14.08,10.21 x 14.08,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.18E+23,6.7 pounds,https://www.bestbuy.com/site/Lenovo-82Y30004US/
HP,16-h1023dx,4.6,518,999,USD,9.94,14.07,9.94 x 14.07,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.",Wide Quad Extended Graphics Array is a display resolution of 2560 × 1600 pixels with a 16:10 aspect ratio.,8.18E+23,6.7 pounds,https://www.bestbuy.com/site/HP-16-h1023dx/
Lenovo,83B1001XUS,4.6,229,999,USD,9.06,12.52,9.06 x 12.52,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.18E+23,6.7 pounds,https://www.bestbuy.com/site/Lenovo-83B1001XUS/
Dell,XPS9315-7725SKY-PUS,4.4,208,999,USD,7.85,11.63,7.85 x 11.63,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",1920 x 1200 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.,8.18E+23,6.7 pounds,https://www.bestbuy.com/site/Dell-XPS9315-7725SKY-PUS/
ASUS,X1400EA-I38128,4.5,845,999,USD,12.81,8.5,12.81 x 8.5,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 1366 x 768 resolution boasts impressive color and clarity. Energy-efficient LED backlight.,8.18E+23,6.7 pounds,https://www.bestbuy.com/site/ASUS-X1400EA-I38128/
Dell,i7630-5640SLV-PUS,4.7,172,999,USD,9.91,14.05,9.91 x 14.05,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience",8.18E+23,6.7 pounds,https://www.bestbuy.com/site/Dell-i7630-5640SLV-PUS/
HP,14-dq0051dx,4.1,4231,999,USD,8.86,12.76,8.86 x 12.76,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups.",8.18E+23,6.7 pounds,https://www.bestbuy.com/site/HP-14-dq0051dx/
ASUS,Q530VJ-I73050,4.7,552,999,USD,14.03,9.26,14.03 x 9.26,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",Enjoy detailed moving visuals with ultra-vivid colors on a (1920 x 1080) 60Hz OLED display with the PANTONE Validated for color fidelity.,8.16E+11,13.6 pounds,https://www.bestbuy.com/site/ASUS-Q530VJ-I73050/
Microsoft,YZY-00001,4.6,70,999,USD,12.72,9.06,12.72 x 9.06,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Windows 11 is optimized for touch on Surface Laptop Studio 2. Tap, drag, swipe, and pinch like you do on your smartphone.",8.87E+11,0.017 pounds,https://www.bestbuy.com/site/Microsoft-YZY-00001/
LG,17Z90Q-K.AAB8U1,4.6,97,999,USD,0.7,14.91,0.7 x 14.91,Expand the realm of what’s possible using a 17” screen that can make your visions come to life with a non-reflective design to maintain your focus and a bold DCI-P3 99% color gamut* to add a realistic touch to graphics.,"Designers, streamers and everyday users will rejoice at the premium power of our Intel Evo Platform Powered by 12th Gen Intel Core i7 Processor and the beautiful Iris Xe graphics that come to life on screen.",7.18E+11,1.32 lb,https://www.bestbuy.com/site/LG-17Z90Q-K.AAB8U1/
HP,15-DY5073DX,4.6,1110,999,USD,9.53,14.11,9.53 x 14.11,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups.",50616008921,6.5 pounds,https://www.bestbuy.com/site/HP-15-DY5073DX/
Microsoft,Z2D-00001,4.4,9,3300,USD,12.72,9.06,12.72 x 9.06,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Windows 11 is optimized for touch on Surface Laptop Studio 2. Tap, drag, swipe, and pinch like you do on your smartphone.",50616008921,6.5 pounds,https://www.bestbuy.com/site/Microsoft-Z2D-00001/
Dell,i7435-A111BLU-PUS,4.6,716,699,USD,8.92,12.36,8.92 x 12.36,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience",7.93E+11,5.2 pounds,https://www.bestbuy.com/site/Dell-i7435-A111BLU-PUS/
Microsoft,XK1-00001,4.7,222,699,USD,10.95,8.12,10.95 x 8.12,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Handle whatever the day throws at you, wherever you are, with faster performance, all-day battery life¹, and Windows 11.",7.93E+11,5.2 pounds,https://www.bestbuy.com/site/Microsoft-XK1-00001/
HP,17-cp2033dx,4.7,796,699,USD,10.15,15.78,10.15 x 15.78,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.","Enjoy your photos, movies, and games with the crisp quality of 1.4 million pixels.",7.93E+11,5.2 pounds,https://www.bestbuy.com/site/HP-17-cp2033dx/
MSI,PRE14EVO13269,4.7,796,1500,USD,9,12,9 x 12,"Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",IPS technology offers wide viewing angles. 1920 x 1200 resolution delivers amazing color and clarity,7.93E+11,5.2 pounds,https://www.bestbuy.com/site/MSI-PRE14EVO13269/
ASUS,Q540VJ-I93050,4.5,678,699,USD,14.03,9.26,14.03 x 9.26,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",Enjoy detailed moving visuals with ultra-vivid colors on a 2.8K(2880 x 1620) 120Hz OLED display with the PANTONE Validated for color fidelity.,7.93E+11,5.2 pounds,https://www.bestbuy.com/site/ASUS-Q540VJ-I93050/
HP,11-ak0053dx,4.2,380,699,USD,7.6,11.1,7.6 x 11.1,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Enjoy your entertainment with the great quality and high-definition detail of 1 million pixels,7.93E+11,5.2 pounds,https://www.bestbuy.com/site/HP-11-ak0053dx/
Lenovo,82V60065US,3.5,1264,699,USD,12.81,8.52,12.81 x 8.52,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","SuperBright technology with matte finish maintains the vivid colors in your movies, photos and videos while also reducing glare. Typical 1366 x 768 HD resolution. Energy-efficient LED backlight.",7.93E+11,5.2 pounds,https://www.bestbuy.com/site/Lenovo-82V60065US/
Lenovo,82LM00UEUS,5,2,340,USD,8.33,12.66,8.33 x 12.66,8GB Soldered DDR4-3200,512GB SSD M.2 2242 PCIe 3.0x4 NVMe,7.93E+11,5.2 pounds,https://www.bestbuy.com/site/Lenovo-82LM00UEUS/
Lenovo,T470,4.6,5,350,USD,13.25,9.15,13.25 x 9.15,"Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with powerful management tools.",The 1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity.,7.93E+11,5.2 pounds,https://www.bestbuy.com/site/Lenovo-T470/
Microsoft,RKL-00001,4.8,35,999,USD,9.6,13.4,9.6 x 13.4,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",7.61E+11,3 pounds,https://www.bestbuy.com/site/Microsoft-RKL-00001/
LG,15Z90RT-K.AAB8U1,4.1,9,999,USD,0.49,14,0.49 x 14,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.","A 15"" OLED anti-glare screen with a 100% DCI-P3¹ color gamut and VESA DisplayHDR 500 True Black, delivers exceptional image resolution with true-to-life detail and stunning, deep black levels.",7.61E+11,3 pounds,https://www.bestbuy.com/site/LG-15Z90RT-K.AAB8U1/
Lenovo,21FJS05W00,4.1,9,1200,USD,8.58,12.01,8.58 x 12.01,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","The 1920 x 1200 resolution boasts impressive color and clarity. Touch, tap, glide and make the most of Windows 11. IPS technology for wide viewing angles. Energy-efficient LED backlight.",7.61E+11,3 pounds,https://www.bestbuy.com/site/Lenovo-21FJS05W00/
ASUS,Q420VA-EVO.I7512,4.7,753,450,USD,12.67,8.88,12.67 x 8.88,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.","The 14.5"" OLED 2880 x 1800 120Hz display boasts impressive color and clarity with a smooth 0.2ms response time. VESA Display HDR 500 True Black certification and TUV-certified 70% blue-light reduction.",8.87E+11,5.6 pounds,https://www.bestbuy.com/site/ASUS-Q420VA-EVO.I7512/
Lenovo,83AX0000US,4.7,414,450,USD,8.92,12.81,8.92 x 12.81,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.87E+11,5.6 pounds,https://www.bestbuy.com/site/Lenovo-83AX0000US/
ASUS,F1605VA-DS74,5,1,450,USD,9.82,14.12,9.82 x 14.12,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","WUXGA (1920 x 1200) 16:10 aspect ratio IPS-level panel with 60Hz refresh rate, 45% NTSC color gamut, TÜV Rheinland-certified",7.36E+11,3.88 oz,https://www.bestbuy.com/site/ASUS-F1605VA-DS74/
Microsoft,QEZ-00001,4.7,655,800,USD,8.2,11.3,8.2 x 11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.,7.36E+11,3.88 oz,https://www.bestbuy.com/site/Microsoft-QEZ-00001/
Acer,A315-24PT-R90Z,4.5,737,350,USD,8.2,11.3,8.2 x 11.3,"Windows 11 operating system was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","See more on the stunning 15.6"" Full HD IPS touch display thanks to the narrow-bezel design. And with Acer BlueLightShield, lower the levels of blue light exposure to you and your loved ones.",7.36E+11,3.88 oz,https://www.bestbuy.com/site/Acer-A315-24PT-R90Z/
HP,14-eu0023dx,5,2,699,USD,8.68,12.35,8.68 x 12.35,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","With a dedicated engine that helps unlock AI experiences on the PC and high-performance low power processing, enjoy superior performance with less drain on battery, so you can do more for longer while unplugged.",6.64E+11,5 pounds,https://www.bestbuy.com/site/HP-14-eu0023dx/
Lenovo,82H803SDUS,4.7,1040,699,USD,9.31,14.14,9.31 x 14.14,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,6.64E+11,5 pounds,https://www.bestbuy.com/site/Lenovo-82H803SDUS/
Samsung,NP960XFH-XA1US,4.6,116,699,USD,13.99,9.86,13.99 x 9.86,"If you can dream it, you can do it with a remarkable PC that’s brimming with power. Featuring lightning like performance for big ideas, our most powerful processor series yet helps you code, design and create without restraint.","Whether you’re rendering video for a film project or dabbling in some after hours gaming, the latest NVIDIA graphics card brings visuals to life like a dream.",7.35E+11,5 pounds,https://www.bestbuy.com/site/Samsung-NP960XFH-XA1US/
LG,16Z90RS-K.AAW7U1,4.6,5,699,USD,0.63,14,0.63 x 14,"Windows 11 brings you closer to what you love. Pursue your passions and maximize your productivity with the new Windows 11. Built with tools to help you multitask, think, create, and connect—all designed with simplicity and intuition in mind.","A 16"" OLED screen with a 100% DCI-P3 ² color gamut and perfect black, LG gram Style delivers exceptional image resolution with true-to-life detail.",7.35E+11,5 pounds,https://www.bestbuy.com/site/LG-16Z90RS-K.AAW7U1/
Lenovo,82Y5000AUS,4.7,86,699,USD,9.87,12.89,9.87 x 12.89,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,19048210340,2.2 pounds,https://www.bestbuy.com/site/Lenovo-82Y5000AUS/
